id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts53693,The Worst Witch,SHOW,"Join Mildred Hubble in CBBC's adaptation of The Worst Witch books, written by Jill Murphy.",2017,TV-Y7,28,"['scifi', 'family', 'fantasy', 'european']",['GB'],4.0,tt5721172,7.2,2437,49.402,7.7,n
ts85138,Dogs,SHOW,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",2018,TV-PG,50,"['documentation', 'reality', 'history']",['US'],2.0,tt9201008,8.0,1282,3.54,8.3,n
ts83251,Magic for Humans,SHOW,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",2018,TV-14,23,"['reality', 'comedy']",['US'],3.0,tt8425308,7.1,3346,6.964,6.7,n
ts55348,QB1: Beyond the Lights,SHOW,"A 10-part docuseries following high-school quarterbacks, on and off the field, throughout their unforgettable senior seasons.",2017,TV-14,32,"['drama', 'reality', 'documentation', 'sport']",['US'],3.0,tt5771332,7.7,905,2.01,7.0,n
tm330869,Show Dogs,MOVIE,"Starring Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Alan Cumming, and Stanley Tucci, SHOW DOGS is a family comedy about the unlikely pairing of a human detective (Arnett) and his canine partner (voice of Chris ""Ludacris"" Bridges), who has to go undercover at the world's most exclusive dog show to solve his biggest case yet.",2018,PG,92,"['comedy', 'crime', 'family']","['US', 'GB']",,tt5691024,3.8,4704,11.664,6.1,n
ts83763,Black Earth Rising,SHOW,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape.",2018,TV-MA,59,"['drama', 'crime', 'thriller']",['GB'],1.0,tt7660730,7.4,4917,5.831,7.1,n
ts86682,7 Days Out,SHOW,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",2018,TV-PG,47,['documentation'],['US'],1.0,tt9315990,6.7,544,0.663,9.0,n
tm285340,Girlfriend's Day,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",2017,,70,"['comedy', 'drama']",['US'],,tt2962984,5.2,4381,8.861,4.8,n
ts78217,Welcome to the Family,SHOW,"You don't choose family, family chooses you.",2018,TV-MA,48,['comedy'],['ES'],2.0,tt7490342,6.6,455,5.935,7.4,n
tm270999,The Resurrection of Gavin Stone,MOVIE,"Gavin Stone, a washed-up former child star, is forced to do community service at a local megachurch and pretends to be Christian so he can land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.",2017,PG,91,"['drama', 'comedy', 'family', 'romance']",['US'],,tt4902904,6.2,2269,3.2,6.3,n
ts85659,3Below: Tales of Arcadia,SHOW,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",2018,TV-Y7,22,"['scifi', 'action', 'comedy', 'family', 'fantasy', 'animation']",['US'],2.0,tt7736544,7.7,6158,27.194,7.7,n
ts77034,A Love So Beautiful,SHOW,"It tells the love story of two childhood sweethearts that spans 19 years. Chen Xiao Xi is a cute and small girl with a lot of positive energy. She gets to know Jiang Chen, a tall and proud genius boy, at school and tries everything to pursue him. The drama depicts the beautiful and pure heart throbbing love of seventeen years olds, but also delves into the topic of making mistakes andhow to find back to each other again.",2017,TV-14,41,"['comedy', 'romance']",['CN'],1.0,tt8434720,8.0,1420,42.708,8.4,n
tm349138,One of Us,MOVIE,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",2017,,95,['documentation'],['US'],,tt7214842,7.0,6574,7.349,6.9,n
tm448122,Taylor Swift: Reputation Stadium Tour,MOVIE,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018,PG-13,125,"['music', 'documentation']",['US'],,tt9426852,8.3,5435,14.519,8.2,n
ts58152,Cathedral of the Sea,SHOW,"In the 14th century, Barcelona is experiencing one of its most prosperous moments. The city has grown to La Ribera, a fishing district in which the largest Marian temple ever known is built: Santa María del Mar. But the construction runs parallel to Arnau Estanyol, a serf of the land who, fleeing the abuses of The feudal lords of the countryside take refuge in Barcelona.",2018,TV-MA,57,"['drama', 'history']",['ES'],1.0,tt4944694,7.4,4450,13.03,7.1,n
ts83537,Signs,SHOW,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town.",2018,TV-MA,46,"['crime', 'thriller', 'european']",['PL'],2.0,tt8917248,6.3,1676,8.337,7.0,n
ts55939,Bonus Family,SHOW,"A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy.",2017,,44,"['drama', 'comedy', 'reality', 'family', 'documentation', 'music', 'european']",['SE'],4.0,tt0461629,2.9,16,11.3,7.3,n
ts85968,Nicky Jam: El Ganador,SHOW,Follow Reggaeton artist Nicky Jam's struggles to overcome drug addiction and rise to international success in this dramatization of his life story.,2018,,44,"['drama', 'music']",['PR'],1.0,tt7949200,7.7,1151,27.568,7.3,n
tm315584,Godzilla: Planet of the Monsters,MOVIE,"In the year 2048, the human race is forced to leave Earth after decades of losing against Godzilla and other giant monsters. They take a twenty-year journey to another planet called Tau Ceti-e, but upon arrival, they discover that the planet has become uninhabitable. As living conditions on their ship deteriorate, a young man named Haruo spearheads a movement to return to Earth and take it back from the monsters. The ship successfully makes the return voyage, but the crew realizes that twenty thousand years have passed, with Earth's ecosystem having evolved to become centered around Godzilla.",2017,PG-13,89,"['scifi', 'action', 'animation']",['JP'],,tt5979874,6.0,8548,15.942,6.3,n
tm420334,Like Father,MOVIE,"When a workaholic young executive, is left at the altar, she ends up on her Caribbean honeymoon cruise with the last person she ever expected: her estranged and equally workaholic father. The two depart as strangers, but over the course of a few hilarious adventures, a couple of umbrella-clad cocktails and a whole lot of soul-searching, they return with a renewed appreciation for family and life.",2018,R,103,"['drama', 'comedy']",['US'],,tt7170950,6.1,21378,8.815,6.3,n
